0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
23883.05,29501.28,35634.67,37462.12,37462.12,40843.19,44986.95999999999,72.0,87.0,114.0,117.0,117.0,136.0,150.0,114.0,23.0,21.99,14.99,0.0,18.39,29.99,1268.47,1336.7,1057.05,1569.11,0.0,628.19,691.63,331.70902777777775,339.0951724137931,312.5848245614035,320.18905982905983,320.18905982905983,300.31757352941173,299.9130666666666,44986.95999999999
7618.6799999999985,11138.98,19923.43,27670.99,30375.99,39674.78,51543.43,21.0,32.0,46.0,56.0,61.0,81.0,96.0,40.0,50.0,45.0,56.0,150.0,51.8,25.0,2115.0,689.0,2000.0,1743.0,1755.0,1568.25,2011.3,362.79428571428565,348.093125,433.11804347826086,494.12482142857147,497.96704918032793,489.81209876543215,536.9107291666667,60081.06
97777.14,109208.28,134150.53,178528.68,232473.01,285754.19,312680.16000000003,99.0,112.0,137.0,171.0,220.0,267.0,292.0,80.0,100.0,68.0,80.0,33.0,76.0,86.0,2940.56,2137.0,3719.0,4809.0,3182.0,3076.0,2669.0,987.6478787878788,975.0739285714287,979.2009489051096,1044.0273684210526,1056.6955,1070.2404119850187,1070.8224657534247,336555.21
1264.3,3347.08,9842.62,16923.44,20766.54,25253.06,31667.28,4.0,6.0,14.0,18.0,20.0,27.0,37.0,0.0,1003.08,87.2,405.94,1798.51,131.0,77.0,0.0,1079.7,1688.32,2866.17,2044.59,1789.35,1579.77,316.075,557.8466666666667,703.0442857142856,940.191111111111,1038.3269999999998,935.2985185185183,855.8724324324324,31667.28
95551.42,104925.41,116873.0,135130.76,167501.05000000002,195665.09000000003,211681.71,181.0,199.0,227.0,266.0,313.0,348.0,384.0,40.0,69.99,69.89,51.0,41.17,24.0,46.78,1328.8,1106.39,1594.54,2038.45,5461.77,7555.38,4242.0,527.9083977900551,527.2633668341708,514.8590308370044,508.0103759398497,535.147124600639,562.2560057471267,551.254453125,251462.14
7404.48,7404.48,7404.48,7404.48,7404.48,7404.48,7404.48,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.56,925.56,925.56,925.56,925.56,925.56,925.56,7404.48
72867.42000000001,94116.43,103342.1,117781.23,136391.15000000002,155399.31000000006,181738.86,286.0,357.0,400.0,455.0,514.0,586.0,679.0,5.0,20.0,15.0,24.0,42.5,15.0,4.99,850.13,4790.0,858.07,2596.25,1380.0,1346.9,1726.28,254.78118881118885,263.631456582633,258.35525,258.85984615384615,265.3524319066148,265.18653583617754,267.65664212076587,186827.54
8867.61,10263.82,11456.0,11456.0,11456.0,11456.0,11456.0,16.0,20.0,24.0,24.0,24.0,24.0,24.0,119.7,17.49,130.0,0.0,0.0,0.0,0.0,746.97,966.54,729.88,0.0,0.0,0.0,0.0,554.225625,513.191,477.33333333333326,477.33333333333326,477.33333333333326,477.33333333333326,477.33333333333326,11456.0
18004.559999999998,18004.559999999998,18004.559999999998,18004.559999999998,18004.559999999998,18004.559999999998,18004.559999999998,44.0,44.0,44.0,44.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.1945454545454,409.1945454545454,409.1945454545454,409.1945454545454,409.1945454545454,409.1945454545454,409.1945454545454,18004.559999999998
43876.57,52355.71,66848.09,72239.93,87914.78,109360.24,130236.72,89.0,105.0,130.0,147.0,174.0,223.0,281.0,73.0,43.0,4.0,5.0,23.9,39.8,20.0,1012.72,1954.0,2835.01,863.4,2430.93,1405.48,1888.39,492.9951685393258,498.6258095238095,514.2160769230769,491.4280952380952,505.25735632183915,490.40466367713,463.4758718861209,142777.3
