0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
68749.17,85704.82,110808.44,130736.3,144742.44,167201.44,186950.68,125.0,160.0,206.0,241.0,272.0,323.0,356.0,80.0,143.0,60.0,10.0,25.0,30.0,6.0,1460.0,1647.0,1958.0,1685.26,1846.0,2190.0,6331.34,549.9933599999998,535.655125,537.9050485436893,542.4742738589212,532.1413235294118,517.6515170278637,525.1423595505619,204058.68
1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,1353.19
4500.89,5146.35,5146.35,5146.35,5146.35,5146.35,5262.34,10.0,13.0,13.0,13.0,13.0,13.0,15.0,149.98,114.88,0.0,0.0,0.0,0.0,39.99,3000.0,363.0,0.0,0.0,0.0,0.0,76.0,450.08900000000006,395.87307692307695,395.87307692307695,395.87307692307695,395.87307692307695,395.87307692307695,350.8226666666667,5262.34
6081.42,8934.42,18925.42,22368.52,22368.52,22368.52,22368.52,33.0,48.0,73.0,90.0,90.0,90.0,90.0,29.0,40.0,29.0,29.0,0.0,0.0,0.0,261.0,388.0,2324.4,1142.1,0.0,0.0,0.0,184.2854545454545,186.13375,259.2523287671233,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,22368.52
1926.09,2335.89,3978.8,10852.25,62360.67,65489.42,68130.92,5.0,6.0,8.0,12.0,25.0,30.0,32.0,129.7,409.8,518.47,712.27,300.0,362.5,319.5,178.52,409.8,1124.44,3980.0,43944.0,829.02,2322.0,385.218,389.315,497.35,904.3541666666665,2494.4268,2182.980666666667,2129.09125,95761.61
5600.33,10409.4,17804.67,20250.0,25650.2,33471.54,52806.35000000001,26.0,44.0,67.0,79.0,108.0,137.0,172.0,22.0,16.0,19.98,15.0,16.0,16.0,23.0,444.67,910.0,1128.1,582.82,634.67,1161.31,9025.0,215.3973076923077,236.57727272727269,265.74134328358207,256.32911392405066,237.50185185185185,244.31781021897808,307.01366279069765,52806.35000000001
5322.95,8443.88,17004.75,25721.23,26382.23,27939.41,32585.06,4.0,7.0,16.0,22.0,24.0,28.0,36.0,555.0,710.0,140.0,64.0,85.0,160.0,70.0,555.0,1290.33,3161.13,4178.48,576.0,900.0,2071.46,1330.7375,1206.2685714285712,1062.796875,1169.1468181818182,1099.2595833333332,997.8360714285716,905.1405555555556,33585.06
7935.25,11110.85,14329.11,14329.11,14329.11,14329.11,14329.11,15.0,24.0,32.0,32.0,32.0,32.0,32.0,216.0,67.0,70.0,0.0,0.0,0.0,0.0,1364.0,755.0,602.6,0.0,0.0,0.0,0.0,529.0166666666668,462.95208333333335,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,14329.11
17917.710000000006,22058.000000000004,28167.130000000005,31628.85000000001,31628.85000000001,36287.45,41286.750000000015,51.0,71.0,108.0,130.0,130.0,156.0,179.0,33.0,39.0,24.6,3.0,0.0,2.0,16.0,391.0,719.99,410.8,391.0,0.0,634.5,1100.6,351.32764705882363,310.67605633802816,260.8067592592593,243.29884615384617,243.29884615384617,232.61185897435902,230.65223463687155,44454.31000000001
1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1
