0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
85704.82,110808.44,130736.3,144742.44,167201.44,186950.68,204058.68,160.0,206.0,241.0,272.0,323.0,356.0,394.0,143.0,60.0,10.0,25.0,30.0,6.0,10.0,1647.0,1958.0,1685.26,1846.0,2190.0,6331.34,2945.0,535.655125,537.9050485436893,542.4742738589212,532.1413235294118,517.6515170278637,525.1423595505619,517.9154314720812,232027.98
1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,1353.19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,270.63800000000003,1353.19
5146.35,5146.35,5146.35,5146.35,5146.35,5262.34,5262.34,13.0,13.0,13.0,13.0,13.0,15.0,15.0,114.88,0.0,0.0,0.0,0.0,39.99,0.0,363.0,0.0,0.0,0.0,0.0,76.0,0.0,395.87307692307695,395.87307692307695,395.87307692307695,395.87307692307695,395.87307692307695,350.8226666666667,350.8226666666667,5440.91
8934.42,18925.42,22368.52,22368.52,22368.52,22368.52,22368.52,48.0,73.0,90.0,90.0,90.0,90.0,90.0,40.0,29.0,29.0,0.0,0.0,0.0,0.0,388.0,2324.4,1142.1,0.0,0.0,0.0,0.0,186.13375,259.2523287671233,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,248.5391111111111,22368.52
2335.89,3978.8,10852.25,62360.67,65489.42,68130.92,95761.61,6.0,8.0,12.0,25.0,30.0,32.0,50.0,409.8,518.47,712.27,300.0,362.5,319.5,19.9,409.8,1124.44,3980.0,43944.0,829.02,2322.0,12834.0,389.315,497.35,904.3541666666665,2494.4268,2182.980666666667,2129.09125,1915.2322,108584.69
10409.4,17804.67,20250.0,25650.2,33471.54,52806.35000000001,52806.35000000001,44.0,67.0,79.0,108.0,137.0,172.0,172.0,16.0,19.98,15.0,16.0,16.0,23.0,0.0,910.0,1128.1,582.82,634.67,1161.31,9025.0,0.0,236.57727272727269,265.74134328358207,256.32911392405066,237.50185185185185,244.31781021897808,307.01366279069765,307.01366279069765,52806.35000000001
8443.88,17004.75,25721.23,26382.23,27939.41,32585.06,33585.06,7.0,16.0,22.0,24.0,28.0,36.0,37.0,710.0,140.0,64.0,85.0,160.0,70.0,1000.0,1290.33,3161.13,4178.48,576.0,900.0,2071.46,1000.0,1206.2685714285712,1062.796875,1169.1468181818182,1099.2595833333332,997.8360714285716,905.1405555555556,907.7043243243244,33585.06
11110.85,14329.11,14329.11,14329.11,14329.11,14329.11,14329.11,24.0,32.0,32.0,32.0,32.0,32.0,32.0,67.0,70.0,0.0,0.0,0.0,0.0,0.0,755.0,602.6,0.0,0.0,0.0,0.0,0.0,462.95208333333335,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,447.7846875,14329.11
22058.000000000004,28167.130000000005,31628.85000000001,31628.85000000001,36287.45,41286.750000000015,44454.31000000001,71.0,108.0,130.0,130.0,156.0,179.0,199.0,39.0,24.6,3.0,0.0,2.0,16.0,29.0,719.99,410.8,391.0,0.0,634.5,1100.6,589.1,310.67605633802816,260.8067592592593,243.29884615384617,243.29884615384617,232.61185897435902,230.65223463687155,223.3884924623116,45529.37
1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1
52043.99999999999,64488.28999999999,68485.04,68485.04,68485.04,68485.04,68485.04,89.0,112.0,118.0,118.0,118.0,118.0,118.0,34.0,156.0,252.0,0.0,0.0,0.0,0.0,815.96,1624.54,1800.0,0.0,0.0,0.0,0.0,584.7640449438203,575.7883035714285,580.3816949152543,580.3816949152543,580.3816949152543,580.3816949152543,580.3816949152543,68485.04
998.58,998.58,998.58,1786.41,2002.41,2002.41,2002.41,4.0,4.0,4.0,7.0,8.0,8.0,8.0,0.0,0.0,0.0,173.7,216.0,0.0,0.0,0.0,0.0,0.0,434.13,216.0,0.0,0.0,249.645,249.645,249.645,255.20142857142858,250.30125,250.30125,250.30125,2987.390000000001
47397.33,58524.31,68611.53,89898.47,100046.07,122242.34,139652.90000000002,149.0,186.0,221.0,279.0,316.0,362.0,403.0,26.0,50.0,22.0,54.0,5.0,5.4,1.0,1821.41,1116.0,1013.9,3414.65,1165.94,3353.5,6801.98,318.1028859060403,314.64682795698917,310.4594117647058,322.2167383512545,316.6014873417722,337.68602209944754,346.53325062034753,156938.52000000002
20448.87,23883.05,29501.28,35634.67,37462.12,37462.12,40843.19,64.0,72.0,87.0,114.0,117.0,117.0,136.0,114.0,114.0,23.0,21.99,14.99,0.0,18.39,708.07,1268.47,1336.7,1057.05,1569.11,0.0,628.19,319.51359375,331.70902777777775,339.0951724137931,312.5848245614035,320.18905982905983,320.18905982905983,300.31757352941173,44986.95999999999
1661.95,7618.6799999999985,11138.98,19923.43,27670.99,30375.99,39674.78,8.0,21.0,32.0,46.0,56.0,61.0,81.0,30.0,40.0,50.0,45.0,56.0,150.0,51.8,560.0,2115.0,689.0,2000.0,1743.0,1755.0,1568.25,207.74375,362.79428571428565,348.093125,433.11804347826086,494.12482142857147,497.96704918032793,489.81209876543215,51543.43
74141.09,97777.14,109208.28,134150.53,178528.68,232473.01,285754.19,73.0,99.0,112.0,137.0,171.0,220.0,267.0,55.0,80.0,100.0,68.0,80.0,33.0,76.0,4640.67,2940.56,2137.0,3719.0,4809.0,3182.0,3076.0,1015.6313698630136,987.6478787878788,975.0739285714287,979.2009489051096,1044.0273684210526,1056.6955,1070.2404119850187,312680.16000000003
1264.3,1264.3,3347.08,9842.62,16923.44,20766.54,25253.06,4.0,4.0,6.0,14.0,18.0,20.0,27.0,0.0,0.0,1003.08,87.2,405.94,1798.51,131.0,0.0,0.0,1079.7,1688.32,2866.17,2044.59,1789.35,316.075,316.075,557.8466666666667,703.0442857142856,940.191111111111,1038.3269999999998,935.2985185185183,31667.28
